,content,,,,,,,,
310,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
311,왠만한 공포영화보다 훨씬 더 공포를 느끼며 봤다.,,,,,,,,
312,괜찮은데? 긴장도 되고!,,,,,,,,
313,제 나름 정말 재밌었던거 같네여,,,,,,,,
314,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
315,다큐라는게 크게 한몫했음.,,,,,,,,
316,기대보다 훨씬 잘만든 영화.,,,,,,,,
317,나의 몇안되는 최고의 공포영화,,,,,,,,
318,시작하자마자 밀려오는 긴장감,,,,,,,,
319,완성되어진 잘짜여진 영화,,,,,,,,
320,이건 단순한 공포영화가 아니다..,,,,,,,,
321,재미있네요 강추,,,,,,,,
322,여배우의 연기가 너무 리얼함 하나도 어색하지가 않아..덜덜덜,,,,,,,,
323,흐미 OO 나 혼자사는데 이젠 어떻하나,,,,,,,,
324,신선한 소재가 무척 흥미로웠고 다큐프로같은느낌이라서 더 리얼했음..,,,,,,,,
325,영화관에 나랑 여친 딱 두명.. 둘만 있어도 안무섭더라..에휴,,,,,,,,
326,알바 웨이브 .jpg,,,,,,,,
327,별10개중...5개... 비디오 꺼리도 안되는듯...무서운장면 광고에서 나온게 다임,,,,,,,,
328,후반으로 갈수록 영~~ 급하게 마무리지는 느낌.,,,,,,,,
329,평점7점대인 라스트엑소시즘보단 평점 5점대인 무법자가 더재밌었다.,,,,,,,,
330,중반까지가 수면제인 1인칭 리얼다큐형식,,,,,,,,
331,이영화는 공포만을 보여주는게 아니었다.,,,,,,,,
332,섬뜩하고 소름끼치는 영화,,,,,,,,
333,괜찬네요. 공포영화가 깔끔하고 세련된 느낌을 줄수도 있네요…,,,,,,,,
334,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
335,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
336,상당히 몰입감있고 괜찮았다,,,,,,,,
337,독특한 페이크다큐형식으로 만들어서인지 더욱 생생하게 느껴졌습니다.,,,,,,,,
338,아 입찢어졌을때 징그러워서 혼났네,,,,,,,,
339,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
340,마지막 장면..관객들을 끝까지 맘편하게 집에 가게 놔두질않는다,,,,,,,,
341,엄청 재밌음. 심리적압박,,,,,,,,
342,공포영화인데 이거 너무 사실적인 영화 그래서 더무서움…,,,,,,,,
343,영적세계에 대해서 다시 생각해보게한 영화,,,,,,,,
344,공포도 있고 리얼리티가 살아있는 공포,,,,,,,,
345,알바 쩌네염... 이말 외엔 할말이...읍수다..,,,,,,,,
346,마무리가 쩌네요. 소름돋았는데,,,,,,,,
347,뭔가 개운하지못하지만 무섭긴 최고다 진짜.,,,,,,,,
348,전혀 지루하지않고 나올때 시원~하게 나올수있다. 참 잘만들었네…,,,,,,,,
349,조여오는 압박감으로 인한 공포가 무엇인지 이영화를 통해 느낄수있을것.,,,,,,,,
350,깔끔한 정리는 아니었지만 과정이 엄청 좋았다.,,,,,,,,
351,무엇하나 부족함이 없는 새로운 시도의 공포영화,,,,,,,,
352,이래서 동양 공포영화는 서양의 공포물을 못따라오는거같다,,,,,,,,
353,공포영화로써 이정도면 굉장히 훌륭한 편이지,,,,,,,,
354,진짜 별 반개도 아깝다.. 아까워...,,,,,,,,
355,공포장르를 새롭게 해석한 감독의 능력이 놀랍다.,,,,,,,,
356,후반으로 갈수록 디진다 진짜 정신 바짝 차리고 봐라,,,,,,,,
357,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
358,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
359,보이지않는 무언가로부터 느끼는 공포,,,,,,,,
360,상당히 리얼하고 치열한 공포,,,,,,,,
361,벽에 붙은포즈가 스파디더맨이네,,,,,,,,
362,굉장히재밋게봤는데 ... 뭔가 색다르면서 어느정도의 반전도 볼만했음,,,,,,,,
363,앞부분의 지루함을 커버해주기에는 너무 기네..,,,,,,,,
364,황당한 결말. 식상한 구성.,,,,,,,,
365,별다빼고싶었음..ㅡㅡ;;끝난것같지도않아 관객들 다안나가고있었으면 말다했지요~,,,,,,,,
366,완전 끝판막장이나 ... 이거라엑소시즘이랑 무슨 상관이지...걍 돌아이들의짓인뎅,,,,,,,,
367,마지막 장면에 나도 울부짖고,,,,,,,,
368,엑소시스트1을 기대했다면 절대보지말것 절대보면 안될영화,,,,,,,,
369,무슨 케이블채널에서 실화를 다룬 다큐멘터리같아서 리얼하고 긴장넘쳤다,,,,,,,,
370,간만에 만나는 심리호러의 진수,,,,,,,,
371,무서워서 죽는줄알았다.,,,,,,,,
372,현대사회에서도 아직 엑소시즘은 존재한다,,,,,,,,
373,공포영화답지않게 굉장히 리얼하고 신선한,,,,,,,,
374,아...ㅅㅂ 나만낚일순 없잔아.....우리 같이 낚여 보아요.ㅋㅋㅋㅋ,,,,,,,,
375,여자친구랑가서 보곤 ... 나와서 괜히봣다는생각만 들어써요 .... 어이없는엔딩 ....,,,,,,,,
376,공포....영화 상영 시간동안 공포...느끼지 못함 끝에 막장 3분만 공포..4류영화임,,,,,,,,
377,공포라기보단 다큐멘터리..ㅋㅋ 그래서 더 무서움,,,,,,,,
378,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
379,초반에는 스토리에 몰입이 되자않았으나 중반부터 대박이네요.,,,,,,,,
380,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
381,이런게 진짜 공포지...암,,,,,,,,
382,너무 재미있게 봤어요…보는 내내 엄청 쫄렸어요,,,,,,,,
383,이런식의 소재도 이영화의 개성중 하나아닐까?,,,,,,,,
384,복잡하지않고 진짜 나 이런가게 좋다.,,,,,,,,
385,와......진짜... 최악이다 ......어이없는 스토리..최악의엔딩......ㅡㅡ 욕나오네요,,,,,,,,
386,심도있게 진행되는 상황전개그리고 리얼한 연기,,,,,,,,
387,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
388,추락하는 공포영화의 끝을 잡아주었다.,,,,,,,,
389,공포영화좋아하는분에게 추천합니다.,,,,,,,,
390,아.기존의 엑소시스트시리즈생각하고보시면 최악의영화가 될겁니다...이건심각하네요,,,,,,,,
391,아우 OO들 - -어쩌자는거야 ㅋㅋㅋ 먼 찐따들도 아니고 ㅋㅋㅋㅋㅋ,,,,,,,,
392,내가 영화관에서 본 영화중에 최악의 영화 진짜 돈날기 싫으면 보지마세요,,,,,,,,
393,전무후무란 이런 영화를 두고……귀신이 안튀어나와도 이렇게 무서운 영화가 있다……,,,,,,,,
394,재미있게 보긴했는데요..이거 실화인가요?,,,,,,,,
395,이런게 공포지,,,,,,,,
396,깊이있고 무거웠음. 가벼운 진행이 아니라 정말 리얼리티였음..,,,,,,,,
397,기독교인들은 한번쯤 볼만한 영화 실화같은데 이거…..,,,,,,,,
398,진짜 자연스럽게 무섭다.,,,,,,,,
399,마지막까지 흥미진진,,,,,,,,
400,공포영화를 두루 섭렵한 사람으로써 단연 수작으로 꼽고싶은 영화다.,,,,,,,,
401,실화라는 생각이 막 들어서 더 무섭다,,,,,,,,
402,내가 공포영화에서 원하던 분위기,,,,,,,,
403,일단 공포는 무서워야 제맛.,,,,,,,,
404,엑소시스트이후 나온 오컬트 무비중 최고의 리얼리티,,,,,,,,
405,간만에 진짜 공포영화다운 영화보네요,,,,,,,,
406,무조건 잔인하고 끔찍한것만이 공포가 아니다 이야기의 전개만으로도 공포가,,,,,,,,
407,이거 괜찮은 영화던데 엑소시스트 시리즈중 가장 재밌었음,,,,,,,,
408,순간순간 집중을 안할수없는 영화인듯..마지막엔 예상못한 반전이 대박,,,,,,,,
409,오랜만에 정말 무서웠다 배우들의 호연이 돋보임.,,,,,,,,
410,재밌게 잘봄 ^-^,,,,,,,,
411,정말,,,,,,,,
412,정말 무서워요..이영화찍은 배우분들 심리상태는 괜찮나요? ㅜ,,,,,,,,
413,TV다큐채널느낌…안무서울거같다가 결국은 관객의 혼을,,,,,,,,
414,여운도 남고 몰입되서볼만큼 재밌었다.,,,,,,,,
415,집사람이랑 같이 봤는데 집사람 가위눌림,,,,,,,,
416,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
417,혼자 극장가서 손에 땀을 쥐고 본 영화…공포영화는 혼자봐야 제맛.,,,,,,,,
418,말로 표현할수가 없다.,,,,,,,,
419,끝이 좀 허무한듯하지만 난 진짜 등이 다젖어가면서 봤음 ㅋ,,,,,,,,
420,독특한 소재,,,,,,,,
421,개념있는 공포영화,,,,,,,,
422,공포가 피부로 와닿는다.,,,,,,,,
423,진짜 아직도 의문이 남음,,,,,,,,
424,흔해빠진 공포영호와는 좀 다르다.,,,,,,,,
425,말이 필요없는 공포영화,,,,,,,,
426,공포 영화 겁나 못보는 지인이랑 보면...지인 구경하는 재미만 있을 겁니다. 영화는ㅋ,,,,,,,,
427,junk,,,,,,,,
428,예고편에서 나오던 아찔하게 무서운 장면은 나오지도 않고,,,,,,,,
429,너무 잼없음,,,,,,,,
430,잼있다는 글에 낚여서 봤는데 알고보니 다 알바생들. 진짜 재미없어요 완전 삼류영화,,,,,,,,
431,사탄에 홀린 알바새끼들아 ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ,,,,,,,,
432,ㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗㅗ씨ㅣㅣㅣㅣㅣㅣㅣ발ㄹㄹㄹㄹㄹㄹㄹㄹㄹ,,,,,,,,
433,뭐지 이건?이해 불가. 목사가 쇼로 시작해서 다른 목사가 쇼로 끝내는 영화.,,,,,,,,
434,기대하고 보면 돈아까운 영화,,,,,,,,
435,기대하고 보면 돈아까운 영화,,,,,,,,
436,글쎄. 이걸 공포스럽다고 해야할까,,,,,,,,
437,공포영화로써 이정도면 굉장히 훌륭한 편이지,,,,,,,,
438,꽤나 현실적인 공포,,,,,,,,
439,추락하는 공포영화의 끝을 잡아주었다.,,,,,,,,
440,시작하자마자 밀려오는 긴장감,,,,,,,,
441,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
442,새로운 장르인듯 소재가 진짜 신선했다.,,,,,,,,
443,진짜 아직도 의문이 남음,,,,,,,,
444,무섭고 의미있는 영화에요,,,,,,,,
445,표현이 보기드물게 세련된 공포영화,,,,,,,,
446,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
447,나름 긴장하면서 봤다. 재밌었다,,,,,,,,
448,긴장하면서 봤다…근데 끝이 잘 이해가 안간다..,,,,,,,,
449,섬뜩하고 소름끼치는 영화,,,,,,,,
450,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
451,결말이 허무한줄알았으나 곱씹어 생각해보니 음...좋은 작품인거같애,,,,,,,,
452,교회의 일부 이상한 분들이 봤으면 좋겠음.;,,,,,,,,
453,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
454,16살짜리 혀놀릴땐 무섭기도했지만 섹시하기도..ㅋㅋㅋ,,,,,,,,
455,마지막까지 흥미진진,,,,,,,,
456,혼자봤는데 장난 아님,,,,,,,,
457,오랜만에 정말 무서웠다 배우들의 호연이 돋보임.,,,,,,,,
458,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
459,이런게 공포지,,,,,,,,
460,식상하지않고 완급조절이 좋다,,,,,,,,
461,여자애 불쌍하다,,,,,,,,
462,마무리가 쩌네요. 소름돋았는데,,,,,,,,
463,기대를 져버리지 않을것이다,,,,,,,,
464,잠시도 긴장감을 늦출수없다.,,,,,,,,
465,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
466,오랜만에 공포영화가 무서웠다,,,,,,,,
467,여자주인공 연기가 진짜 소름돋았어요,,,,,,,,
468,평점 알바들이 진짜 존재하는구나.ㅎㅎ이게 왜 만점이야.ㅋ 돈아까움.-_-,,,,,,,,
469,집사람이랑 같이 봤는데 집사람 가위눌림,,,,,,,,
470,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
471,사람의 어두운 본능을 잘 살린듯,,,,,,,,
472,이런식의 소재도 이영화의 개성중 하나아닐까?,,,,,,,,
473,실화라는 생각이 막 들어서 더 무섭다,,,,,,,,
474,여운도 남고 몰입되서볼만큼 재밌었다.,,,,,,,,
475,아 진짜 다큐멘터리같잖아,,,,,,,,
476,시작은 무서움 끝날때는 막장,,,,,,,,
477,무서워지겠지......무서워지겠지.....끗 어 ㅅㅂ?,,,,,,,,
478,이게 박스오피스 1위면 내가 발로 영화만들어도 이거보단 낫겠다 ㅋㅋㅋㅋ,,,,,,,,
479,영화도 즐기고 공포영화도 즐기는 나인데 이영화 나름 무섭던데 소름끼치고 1점은아님,,,,,,,,
480,10년본 영화중에 최악의 영화였음 어떻게 영화를..,,,,,,,,
481,별두개짜리용.무섭지도안고,,,,,,,,
482,리뷰는 쩔게재미있거나&쓰레기이거나 일때쓰게되는데 이건쓰레기가 확실함..,,,,,,,,
483,다 좋은데 너무 헐리웃식결말이네 끝까지 은근한심리적공포로 했었으면하는 아쉬움이,,,,,,,,
484,글쎄 뭐랄까 요즘 흐름에 맞는 진행이지만 아쉽다,,,,,,,,
485,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
486,그럭저럭 생각도 많이 하게 되고..괜찮은 영화인거같아요.,,,,,,,,
487,진짜 기대안하고 봤는데 진짜 깜놀,,,,,,,,
488,배우들의 연기가 돋보임.,,,,,,,,
489,개념있는 공포영화,,,,,,,,
490,반개도 아깝다 ㅅㅍ,,,,,,,,
491,이건 티비에 나오는 무당의 퇴마사 하는 자료보다 못한 3류 졸짝에 졸짝이다,,,,,,,,
492,여지껏 봤던 엑소시스트 시리즈중에 최강이다..,,,,,,,,
493,조여오는 압박감으로 인한 공포가 무엇인지 이영화를 통해 느낄수있을것.,,,,,,,,
494,나의 몇안되는 최고의 공포영화,,,,,,,,
495,대박!!! 기대햇는데,,,,,,,,
496,기대 안 하고 보면 나름대로 볼만하지만..,,,,,,,,
497,공포영화답지않은 탄탄한 스토리입니다.,,,,,,,,
498,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
499,이래서 동양 공포영화는 서양의 공포물을 못따라오는거같다,,,,,,,,
500,일단 공포는 무서워야 제맛.,,,,,,,,
501,간만에 만나는 심리호러의 진수,,,,,,,,
502,끝이 좀 허무한듯하지만 난 진짜 등이 다젖어가면서 봤음 ㅋ,,,,,,,,
503,쓰레기야,,,,,,,,
504,지나고 보면 이영화처럼 장면장면이 기억이 생생한건 또 으외네 ㅋㅋㅋ,,,,,,,,
505,보면후회함 알바생들이 점수다올려주네 평점이거월래 1점인데,,,,,,,,
506,알바하지말고 솔직하게 표현합시다..,,,,,,,,
507,설정과 화면은 신선한데.. 별로 무섭진 않고 허무하군요,,,,,,,,
508,뭔가 개운하지못하지만 무섭긴 최고다 진짜.,,,,,,,,
509,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
510,임산부나 노약자는 삼가해주시길,,,,,,,,
511,이런류의 공포물은 첨이었다. 좋은 스토리가 인상적이었다.,,,,,,,,
512,깜짝놀래는것보다 더 무서운게 담겨있는 영화..은근 소름 공포,,,,,,,,
513,대박,,,,,,,,
514,ㅋㅋㅋㅋ목사가 엑소시즘한다길래 계속봤는데 영화에서도 사기꾼으로 나와 ㅋㅋㅋㅋㅋ,,,,,,,,
515,신선한 다큐식의 촬영기법과 스토리전개,,,,,,,,
516,마무리가 쫌 해피엔딩이 아니라서 쫌 찜찜한감이 잇지만 재밋게 봣네요 ㅎ,,,,,,,,
517,헐,,,,,,,,
518,신을 무시하는 1人,,,,,,,,
519,괜찮은데? 긴장도 되고!,,,,,,,,
520,다큐라는게 크게 한몫했음.,,,,,,,,
521,제 나름 정말 재밌었던거 같네여,,,,,,,,
522,원래 공포영화 시시한데 이건 아니네요…재밋어용~,,,,,,,,
523,초반에는 스토리에 몰입이 되자않았으나 중반부터 대박이네요.,,,,,,,,
524,결론 : 기독교를 믿으라,,,,,,,,
525,알바 개많네 너무 억울해서 1점준다 시바 음식물쓰레기 수준 결말 개젖,,,,,,,,
526,흥미진진하고 늦은밤에봐서 더 재밌었음.,,,,,,,,
527,복잡하지않고 진짜 나 이런가게 좋다.,,,,,,,,
528,10점주는사람 영화보신사람들이신가요 스토리도엉망이고재미도없고진짜돈버리는영화,,,,,,,,
529,정말 엑소시스트 시리즈중에서 역대최고라고 생각합니다...정말 굿굿,,,,,,,,
530,완전 긴장하면서 봤는데..진짜 마무리 좋다.,,,,,,,,
531,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
532,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
533,외계인은 실제로 언제공개가 될것인지!!!,,,,,,,,
534,개봉하자마자보러갔는데 정말 재미없었어요 끝결말 너무 어이없어요,,,,,,,,
535,살다살다 이렇게 조금무섭다 마는영화 처음본다 보지마세요 완전욕나옴,,,,,,,,
536,내가 공포영화에서 원하던 분위기,,,,,,,,
537,공포영화좋아하는분에게 추천합니다.,,,,,,,,
538,솔직히영화초반에존나재미없엇는데보다가완전무섭고재밋음ㅋㅋㅋㅋㅋㅋㅋㅋ난울엇음;,,,,,,,,
539,악마의존재에대해다시한번생각을하게만드는영화,,,,,,,,
540,진짜줫까라 영화다이거는별 한개도없는거없나 ㅋㅋ아 장난하나보지마샘후회함,,,,,,,,
541,너무 재밌다. 못봤으면 엄청 아쉬웠을거야 ㅋㅋ,,,,,,,,
542,이정도면 우리나라에서 진짜 재밌는거임,,,,,,,,
543,그냥 웃으세요 무슨말이 그렇게 많아요 솔직히 웃기잖아요,,,,,,,,
544,참~ 즐거운 영화 ^0^,,,,,,,,
545,내생애 최고로 웃긴 영화 ㅋㅋㅋ,,,,,,,,
546,기대하고 갔는데 내용이 엉망이더군요 여러종류의 영화를 섞어놓은듯 햇습니다,,,,,,,,
547,배우들의 자연스러운 연기가 볼만하네요,,,,,,,,
548,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
549,사실  별로임 ㅡㅡ 하나도안무섭고  모임 ㅡㅡ,,,,,,,,
550,ㅋㅋ 너무한다 평점 알바들이게 공포영화냐 끝나니까 뒤에 여자가 아이고 무서워라,,,,,,,,
551,완전 막장이네...,,,,,,,,
552,그저그런 영화일거라는 내편견을 깨는 영화,,,,,,,,
553,정말 재밌게 봤다 무섭기도 무섭지만 리얼한 상황전개가 나를 미치게했다…,,,,,,,,
554,간만에 진짜 공포영화다운 영화보네요,,,,,,,,
555,긴장되고스릴있다,,,,,,,,
556,무슨 영화가 이따위임..... 절대 돈주고 보지마세요 영화보다가 멍때리게 만들어요ㅋ,,,,,,,,
557,이건 재밌는 영화라고할수없다.,,,,,,,,
558,정말 긴장하면서 봤다. 배우들 연기또한 너무 소름돋을정도,,,,,,,,
559,좀 어지러웠지만 그덕에 엄청실감났음,,,,,,,,
560,신선한 소재. 꽤괜찮지만 결론이 애매함,,,,,,,,
561,엑소시즘을 토대로 접근해본 가능성에 대한 고찰,,,,,,,,
562,좋은 발상에서 끝맺음이 쥑이네,,,,,,,,
563,pororiyam//페이큐멘터리라는 거란다 이 좆초딩아,,,,,,,,
564,이거 도데체 머임? 영화? 다큐? 실화? 정체를 모르겠네,,,,,,,,
565,진심 나는 재밋었는데 ?ㅋㅋ 계속 소리질렀음 ㅋㅋ,,,,,,,,
566,아 장난? 배우들 연기가 안 나빠서 그나마 별하나  줄거리 별로고 긴장감은 어디에?,,,,,,,,
567,긴박한 상황과 반전이 기가막힌다.,,,,,,,,
568,움찔움찔 놀라는 맛이 아주 좋아요,,,,,,,,
569,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
570,완성되어진 잘짜여진 영화,,,,,,,,
571,어설프게 놀래키려는 다른영화랑 다름.,,,,,,,,
572,명품 공포다큐멘터리,,,,,,,,
573,공포가 피부로 와닿는다.,,,,,,,,
574,기독교인들은 한번쯤 볼만한 영화 실화같은데 이거…..,,,,,,,,
575,진짜 계속 보면서 흥미진진했어요,,,,,,,,
576,흔해빠진 공포영호와는 좀 다르다.,,,,,,,,
577,이건...머...밥도 죽도 아닌......페이크 다큐...안보든가 해야지....에이..,,,,,,,,
578,이OO 알바들 OO다. 이런 개 OOO 영화가 재밌다고? 아 나 OO,,,,,,,,
579,네이버평점 믿을게못된다는걸 이제 알았습니다...정말...돈아깝다,,,,,,,,
580,돈쓸데 없으신분은 보세요 정말 좋아요 잠도 잘오고 자리도 많음 추천,,,,,,,,
581,페이크다큐형식을 빌린 뻔한영화..그냥 지루하지않구 볼만한정도는 됨..,,,,,,,,
582,그냥 살인만을 추구하는 영화,,,,,,,,
583,간만에 만나는 심리호러의 진수,,,,,,,,
584,임산부나 노약자는 삼가해주시길,,,,,,,,
585,사람의 어두운 본능을 잘 살린듯,,,,,,,,
586,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
587,재미없다고들 하던데 그건 주관적인 생각인거 가틈..전 꽤나 무서웠고 재밌게 봣음,,,,,,,,
588,정말 너무 심함....,,,,,,,,
589,차라리 엑소시스트 1이 낫다!!,,,,,,,,
590,장난 똥때리냐,,,,,,,,
591,재미없다고들 하던데 그건 주관적인 생각인거 가틈..전 꽤나 무서웠고 재밌게 봣음..,,,,,,,,
592,밑도 끝도 없이 뭐 어쩌라고 그렇게 끝나는지 그게 공포,,,,,,,,
593,아무리좋게생각하려해도 이영화는 진짜진부하고어설프고어설프다,,,,,,,,
594,이도 저도 아닌 어설픈 영화!! 쟝르는 공포 아님,,,,,,,,
595,걍볼만해OO들아,,,,,,,,
596,전혀 재미없었어요..,,,,,,,,
597,진짜 진심으로 제가 쓰는글입니다,,,,,,,,
598,더이상 희생자는 안되요 ㅋㅋㅋㅋㅋㅋㅋㅋ고투헬 쥰내 재미없음,,,,,,,,
599,도대체 뭐가 무섭다는거야..차라리 쏘우를 봐,,,,,,,,
600,차라리 엑소시스트를 한번 더 보는게 낫다,,,,,,,,
601,일단 공포는 무서워야 제맛.,,,,,,,,
602,좀 어지러웠지만 그덕에 엄청실감났음,,,,,,,,
603,긴박한 상황과 반전이 기가막힌다.,,,,,,,,
604,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
605,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
606,오랜만에 정말 무서웠다 배우들의 호연이 돋보임.,,,,,,,,
607,혼자봤는데 장난 아님,,,,,,,,
608,공포매니아인 나 기절하는줄 알았츰 공포영화 오금저리면 그만인거 아닌가요,,,,,,,,
609,다큐스타일의 엑소시즘 시도가 창의롭지만 남는 건 하나도 없네,,,,,,,,
610,나는 진심으로 뒤끝없는 공포에 떨었다.,,,,,,,,
611,오묘한맛이있다 후반부좆고딩년이뒤에서떠들어서 집중이안됐다 끝나고쌍욕을퍼부어줌,,,,,,,,
612,평점 왜케 높아...쓰레기는 아니어도 실망스럽다 다리찢을때 웃겼음..-_-,,,,,,,,
613,평점알바라는것도 있었군요 몰랏네요 ㅋㅋ,,,,,,,,
614,변두리 극장에서 10명정도 관객이 있었는데,,,,,,,,
615,이쓰레기같은영화 내생에최악의영화 평점알바하지마라 이영화진짜쪽팔린다,,,,,,,,
616,제발 마지막이 되라 .. 이딴 영화ㅣ,,,,,,,,
617,최악..,,,,,,,,
618,개재미없다...,,,,,,,,
619,이걸 영화라고만들었는지..;;15세라 잔인한것은 어느정도 감춘다고 이해하고 봐도..,,,,,,,,
620,좋은 영화다. 흔한 장르가 아닌 오컬트식의 공포를 잘 표현했고,,,,,,,,
621,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
622,연기나 연출은 좋았는데 구성이 병맛이에요.솔직히 병맛!!ㅇ.ㅇ,,,,,,,,
623,난별로재밋던거모르겟든데...중간에조금놀랜거빼곤 ㅠ.ㅠ,,,,,,,,
624,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
625,긴장하면서 봤다…근데 끝이 잘 이해가 안간다..,,,,,,,,
626,일단 공포는 무서워야 제맛.,,,,,,,,
627,여자애 불쌍하다,,,,,,,,
628,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
629,임산부나 노약자는 삼가해주시길,,,,,,,,
630,새로운 장르인듯 소재가 진짜 신선했다.,,,,,,,,
631,끝이 좀 허무한듯하지만 난 진짜 등이 다젖어가면서 봤음 ㅋ,,,,,,,,
632,시작하자마자 밀려오는 긴장감,,,,,,,,
633,여지껏 봤던 엑소시스트 시리즈중에 최강이다..,,,,,,,,
634,이건 재밌는 영화라고할수없다.,,,,,,,,
635,깜짝놀래는것보다 더 무서운게 담겨있는 영화..은근 소름 공포,,,,,,,,
636,이런게 공포지,,,,,,,,
637,좀 어지러웠지만 그덕에 엄청실감났음,,,,,,,,
638,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
639,완전 긴장하면서 봤는데..진짜 마무리 좋다.,,,,,,,,
640,집사람이랑 같이 봤는데 집사람 가위눌림,,,,,,,,
641,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
642,실화라는 생각이 막 들어서 더 무섭다,,,,,,,,
643,잠시도 긴장감을 늦출수없다.,,,,,,,,
644,혼자 보고 잠을 못자고 있다,,,,,,,,
645,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
646,간만에 만나는 심리호러의 진수,,,,,,,,
