,content,,,,,,,,
647,표현이 보기드물게 세련된 공포영화,,,,,,,,
648,나름 긴장하면서 봤다. 재밌었다,,,,,,,,
649,개념있는 공포영화,,,,,,,,
650,소리와 자극적인 비주얼로만 놀래키려던 호러감독들은 각성하라.,,,,,,,,
651,정말 긴장하면서 봤다. 배우들 연기또한 너무 소름돋을정도,,,,,,,,
652,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
653,이런식의 소재도 이영화의 개성중 하나아닐까?,,,,,,,,
654,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
655,명품 공포다큐멘터리,,,,,,,,
656,오랜만에 공포영화가 무서웠다,,,,,,,,
657,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
658,현실을 제대로 반영했기에 더욱더 무서울수밖에 없었던,,,,,,,,
659,움찔움찔 놀라는 맛이 아주 좋아요,,,,,,,,
660,이래서 동양 공포영화는 서양의 공포물을 못따라오는거같다,,,,,,,,
661,혼자봤는데 장난 아님,,,,,,,,
662,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
663,어설프게 놀래키려는 다른영화랑 다름.,,,,,,,,
664,여운도 남고 몰입되서볼만큼 재밌었다.,,,,,,,,
665,무섭고 의미있는 영화에요,,,,,,,,
666,16살짜리 혀놀릴땐 무섭기도했지만 섹시하기도..ㅋㅋㅋ,,,,,,,,
667,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
668,식상하지않고 완급조절이 좋다,,,,,,,,
669,내가 공포영화에서 원하던 분위기,,,,,,,,
670,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
671,기대를 져버리지 않을것이다,,,,,,,,
672,여자주인공 연기가 진짜 소름돋았어요,,,,,,,,
673,공포영화좋아하는분에게 추천합니다.,,,,,,,,
674,공포영화답지않은 탄탄한 스토리입니다.,,,,,,,,
675,공포가 피부로 와닿는다.,,,,,,,,
676,아 진짜 다큐멘터리같잖아,,,,,,,,
677,뭔가 개운하지못하지만 무섭긴 최고다 진짜.,,,,,,,,
678,그럭저럭 생각도 많이 하게 되고..괜찮은 영화인거같아요.,,,,,,,,
679,섬뜩하고 소름끼치는 영화,,,,,,,,
680,결말이 허무한줄알았으나 곱씹어 생각해보니 음...좋은 작품인거같애,,,,,,,,
681,긴박한 상황과 반전이 기가막힌다.,,,,,,,,
682,교회의 일부 이상한 분들이 봤으면 좋겠음.;,,,,,,,,
683,배우들 연기 진짜 리얼하다. 그래서 더 무섭고 실감났다,,,,,,,,
684,기독교인들은 한번쯤 볼만한 영화 실화같은데 이거…..,,,,,,,,
685,배우들의 연기가 돋보임.,,,,,,,,
686,신선한 소재. 꽤괜찮지만 결론이 애매함,,,,,,,,
687,진짜 아직도 의문이 남음,,,,,,,,
688,오랜만에 정말 무서웠다 배우들의 호연이 돋보임.,,,,,,,,
689,이런류의 공포물은 첨이었다. 좋은 스토리가 인상적이었다.,,,,,,,,
690,공포영화로써 이정도면 굉장히 훌륭한 편이지,,,,,,,,
691,세심하게 구성된 리얼리티공포물.,,,,,,,,
692,마무리가 쩌네요. 소름돋았는데,,,,,,,,
693,짝퉁 신부. 첨에 완전 맘놓게 하다가 완전 관객을 패닉으로 몰아넣는;;;;,,,,,,,,
694,추락하는 공포영화의 끝을 잡아주었다.,,,,,,,,
695,돈내고 괜히 시간낭비,,,,,,,,
696,후반부로 갈 수록 흥미 만땅의 영화였는데..결말은...1분으로 끝..><;;>,,,,,,,,
697,내 생의 최악의 영화 2위 ㅋㅋㅋ 영화끝나고 사람들 다 헐 ㅋㅋㅋ,,,,,,,,
698,끝나고 정말 ㅡㅡ?이표정돼서나옴..그래도볼만합디다,,,,,,,,
699,허리꺽는게 실제라고 해서 완전 놀랬츰 ㅋ 여주인공 대단한듯,,,,,,,,
700,엑소시스트 영화 안뺴고 다 보는데 이것도 괜찮았음 ㅎㅎㅎㅎ,,,,,,,,
701,무너져버린 마지막 기대,,,,,,,,
702,끝에 볼만했는데 결말이 급 마무리하고 끝내버리네. 결론이 없잖여. 그것땜시 6점준다,,,,,,,,
703,아무도 없는 극장에 심야영화로 혼자 ㅤㅂㅘㅅ는데 정말 지루했다.,,,,,,,,
704,감독 엑소시즘 해야함,,,,,,,,
705,진짜 열라재미없어 ㅡㅡ,,,,,,,,
706,초중반에만 긴장 완죤 막장..쓰레기 엑소시스트라는 이름에똥칠한영화,,,,,,,,
707,솔직히 잼없더라...,,,,,,,,
708,진짜 기대안하고 봤는데 진짜 깜놀,,,,,,,,
709,마지막까지 흥미진진,,,,,,,,
710,흔해빠진 공포영호와는 좀 다르다.,,,,,,,,
711,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
712,깔끔한 정리는 아니었지만 과정이 엄청 좋았다.,,,,,,,,
713,중간에가끔소름끼치는장면조금빼고는 정말 무리수영화..;;공포:2/10,,,,,,,,
714,무서운거 잘 못보는데 써프라이즈가 더 무서움 재미도 그닥이고요,,,,,,,,
715,"기대이하 상영끝나고 사람들 반응""이게 끝이야?""",,,,,,,,
716,완전 재미없으......무섭지도않고 OOO,,,,,,,,
717,진짜 대박무서웠다 ㅡㅡ;; 보는동안 오줌2번싸러갔는데 더마렵다,,,,,,,,
718,인간적으로 재미가 없다 . 공포영환대 무섭지도 않코 이거 머 ..,,,,,,,,
719,반전 강박이 너무 심한 것 같다. 반전만 없었다면 명작이 됐을 텐데 아쉽다.,,,,,,,,
720,감독을 엑소시즘 해주고 싶다.,,,,,,,,
721,뭐 이런영ㅇ화가 다있음 보면서 졸려죽을뻔 아 소리때문에 한번 놀랫다 찔끔,,,,,,,,
722,요 밑에 그러면서 별점은 10점이냐? 너 같은 것들 땜에 평점에 낚여서 개피봤다,,,,,,,,
723,아..진짜 내가 본 영화중에 최악으로 잼없던 영화임.. 공포도 스릴러도 긴장감도0%임!,,,,,,,,
724,나름대로 흥미로운 소재 ! 신과 악마에 대한 새로운 고찰..,,,,,,,,
725,요새 영화마다 알바 왜케 쩌는거임? 아 짜증나!,,,,,,,,
726,미친거같다 이거 진짜 영화가 휴 ...................................,,,,,,,,
727,아 내돈,,,,,,,,
728,혼자 보고 잠을 못자고 있다,,,,,,,,
729,복잡하지않고 진짜 나 이런가게 좋다.,,,,,,,,
730,와 나 진짜 무섭게 봤음.,,,,,,,,
731,배우들의 자연스러운 연기가 볼만하네요,,,,,,,,
732,진짜 이말이 딱임.-기대안하고봤는데 정말 대박,,,,,,,,
733,그럭저럭 생각도 많이 하게 되고..괜찮은 영화인거같아요.,,,,,,,,
734,알수없는 공포의 리얼.,,,,,,,,
735,세심하게 구성된 리얼리티공포물.,,,,,,,,
736,절대 혼자보지마세요ㅜ,,,,,,,,
737,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
738,허리꺾기 대박. 보면 헉소리나와요,,,,,,,,
739,영화 자체가 무섭다.,,,,,,,,
740,진짜 계속 보면서 흥미진진했어요,,,,,,,,
741,정말 사탄은 있을수도있다 그런 생각이 든다,,,,,,,,
742,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
743,보기싫었는데….진짜 괜히봤다는 생각이 든다..나 혼자산단말야……,,,,,,,,
744,무섭고 의미있는 영화에요,,,,,,,,
745,흐미 OO 나 혼자사는데 이젠 어떻하나,,,,,,,,
746,참 너무한다 내가본 최악의 영화중 하나로 기록됨..,,,,,,,,
747,우왕 알바쩐다 평점보고 좋아서 갔는데 OO 진짜아오 내용갈수록 산가고 미친아오,,,,,,,,
748,총을 들수밖에 없는 아버지의 심정 그리고 불쌍한 고양이,,,,,,,,
749,진정한 공포~ 많은것을 생각하게 하는 영화,,,,,,,,
750,공포의 근원을 잘파악한…어찌보면 감독이 천재인듯,,,,,,,,
751,공포영화중 엑소시스트시리즈가 최고죠,,,,,,,,
752,간만에 만나는 심리호러의 진수,,,,,,,,
753,16세의 소녀... 무서워죽는줄알았네ㅠ 질질쌉니다.,,,,,,,,
754,정말 재밌게 봤다 무섭기도 무섭지만 리얼한 상황전개가 나를 미치게했다…,,,,,,,,
755,상당히 리얼하고 치열한 공포,,,,,,,,
756,공포는 몫. 긴장은 필수,,,,,,,,
757,16살짜리 혀놀릴땐 무섭기도했지만 섹시하기도..ㅋㅋㅋ,,,,,,,,
758,교회의 일부 이상한 분들이 봤으면 좋겠음.;,,,,,,,,
759,여자주인공 연기가 진짜 소름돋았어요,,,,,,,,
760,공포영화답지않게 굉장히 리얼하고 신선한,,,,,,,,
761,재미있게 보긴했는데요..이거 실화인가요?,,,,,,,,
762,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
763,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
764,강추임 개재밌음 ㅋㅋㅋ 오줌 찔끔 ㅠㅜ,,,,,,,,
765,아 페이크다큐 역시 현장감 짱인듯. 진짜 무서웠어요,,,,,,,,
766,흥미진진하고 늦은밤에봐서 더 재밌었음.,,,,,,,,
767,여자애 연기 소름끼치도록 잘한다.,,,,,,,,
768,공포라기보단 다큐멘터리..ㅋㅋ 그래서 더 무서움,,,,,,,,
769,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
770,정말 재밌게 봤다 무섭기도 무섭지만 리얼한 상황전개가 나를 미치게했다,,,,,,,,
771,간만에 진짜 공포영화다운 영화보네요,,,,,,,,
772,엑소시즘을 토대로 접근해본 가능성에 대한 고찰,,,,,,,,
773,1점이상준사람들 다 알바인듯,,,,,,,,
774,아 별루임..,,,,,,,,
775,원작이 최고~,,,,,,,,
776,#NAME?,,,,,,,,
777,이것도 영화라고 만들었냐....,,,,,,,,
778,현실을 제대로 반영했기에 더욱더 무서울수밖에 없었던,,,,,,,,
779,집사람이랑 같이 봤는데 집사람 가위눌림,,,,,,,,
780,뭔가 다른 공포영화 후유증 오래감.,,,,,,,,
781,마지막 장면..관객들을 끝까지 맘편하게 집에 가게 놔두질않는다,,,,,,,,
782,혼자 극장가서 손에 땀을 쥐고 본 영화…공포영화는 혼자봐야 제맛.,,,,,,,,
783,곳곳에 숨겨진 디테일이 짜맞추어질때 진짜 공포를 느낄수있다!!,,,,,,,,
784,구성은 좋으나 전개가 별로.,,,,,,,,
785,내가 좋아하는 rec방식..벗 스킵을사용케하는루즈함과 마지막의 난잡함은 할말이없다.,,,,,,,,
786,보기싫었는데….진짜 괜히봤다는 생각이 든다..나 혼자산단말야……,,,,,,,,
787,알바들 때문에 진짜 내가 로긴한다 쓰레기영화임ㅡㅡ 휴,,,,,,,,
788,분위기 조성을 잘 살린 영화.,,,,,,,,
789,엑소시스트이후 나온 오컬트 무비중 최고의 리얼리티,,,,,,,,
790,재미있네요 강추,,,,,,,,
791,이거 진짜 무서웠다..,,,,,,,,
792,나이거 보고 불면증걸린거같다..,,,,,,,,
793,공포의 근원을 잘파악한…어찌보면 감독이 천재인듯,,,,,,,,
794,공포도 있고 리얼리티가 살아있는 공포,,,,,,,,
795,시사회로 봤었습니다. 기존의 공포영화와 다른 독특한 경험. 강추입니다.,,,,,,,,
796,이걸 내가 봤던걸 후회한다.......ㅡㅡ 결말도 뭐이따구..하..,,,,,,,,
797,밑에알바들에게 속지마세욬 아낰진짜 이렇게 돈개아까운영화첨임ㅋ아낰대박쓰레기인듯,,,,,,,,
798,나를 정말 후덜덜하게 떨게 만든 공포영화..,,,,,,,,
799,공포영화 잘만드는 일본보다 훨씬 퀄리티있는 공포물이 탄생했다.,,,,,,,,
800,역대 공포물중 가장 무서웠음,,,,,,,,
801,공포장르를 새롭게 해석한 감독의 능력이 놀랍다.,,,,,,,,
802,오늘 여친이랑 같이 봤는데 재미있었음ㅎ,,,,,,,,
803,무서워서 고개 돌리고 봤다. 쩝..,,,,,,,,
804,흐미 OO 나 혼자사는데 이젠 어떻하나,,,,,,,,
805,우두두두두두둑 우두두두두둑 소리 완전 무서웠음,,,,,,,,
806,영적세계에 대해서 다시 생각해보게한 영화,,,,,,,,
807,영화 광팬인데 돈아깝다는 생각은 하기싫은데 아깝네요 ㅡㅡ;진짜요,,,,,,,,
808,진짜 이영화의 정의가 뭔지 진짜 초대박 절대 보지마세요 돈아까 뒈지는지 알았음,,,,,,,,
809,ㅅㅂ 대체 영화의 내용이 뭐야? 엑소시즘이야 사이비야?무섭지도 않고 스토리도 없고,,,,,,,,
810,포스터가 더무서워..,,,,,,,,
811,알바에 속지마셈 진짜 엑소시스트보다 한참떨어짐..돈내고 후회한건 디워이후 처음..,,,,,,,,
812,말이 필요없다. 용기있는 사람만 보시오.,,,,,,,,
813,첨엔 스토리가 뭐 이러나 했는데 공포심유발하는데 기폭제역할을한거였다.,,,,,,,,
814,잔잔하게 무섭다 특히 마지막장면 소름,,,,,,,,
815,무섭다…ㅡ ㅡ 이거 꼭 실화같다.,,,,,,,,
816,TV다큐채널느낌…안무서울거같다가 결국은 관객의 혼을,,,,,,,,
817,무서운장면보다….이어지는 연이은 상황들이 긴장과 압박을 장난아니게 준다..,,,,,,,,
818,이건 단순한 공포영화가 아니다..,,,,,,,,
819,16세의 소녀... 무서워죽는줄알았네ㅠ 질질쌉니다.,,,,,,,,
820,무슨 영화만들다 만거같음 마지막에는 완전개ㅄ이더만,,,,,,,,
821,나약한 존재가 인간이지만,,,,,,,,
822,반전알려줄까?  로건 게이다,,,,,,,,
823,공포영화인데 이거 너무 사실적인 영화 그래서 더무서움…,,,,,,,,
824,무섭도록 공포에 집중할수있게 만든 영화…,,,,,,,,
825,말이 필요없는 공포영화,,,,,,,,
826,이런게 진짜 공포 아닐까..?,,,,,,,,
827,보는내내 긴장긴장긴장,,,,,,,,
828,무서운건 둘째치고라도 기억에 진짜 오래 남는다…,,,,,,,,
829,이런식으로 공포영화에 접근할생각을 하다니…감독 누구심? 암튼 대박무서웠다.,,,,,,,,
830,짜릿한 공포의 묘미…이영화를 보면 알수있을거다.,,,,,,,,
831,공포장르를 새롭게 해석한 감독의 능력이 놀랍다.,,,,,,,,
832,극장의 사운드가 가미된 공포는 정말..,,,,,,,,
833,귀신영화좋아하는 사람도 각오 단단히 하고봐야할듯…,,,,,,,,
834,놀라고 조금징그러운거 빼곤 재미없다.,,,,,,,,
835,도입부는 길어서 좀 지겹고 전체적으로 어설픈 영화임 여자배우 연기빼곤 암것도없음,,,,,,,,
836,전혀 지루하지않고 나올때 시원~하게 나올수있다. 참 잘만들었네…,,,,,,,,
837,솔직히 무서웠엉. 이게 페이크다큐의 묘미아니겠어?,,,,,,,,
838,긴장감과 현장감이 고스란히 오감으로 느껴졌다,,,,,,,,
839,페이크다큐라 긴장감을 더해줍니다.,,,,,,,,
840,여배우의 연기가 너무 리얼함 하나도 어색하지가 않아..덜덜덜,,,,,,,,
841,기존의 이야기식 공포에서 탈피..리얼공포!!,,,,,,,,
842,꿈에 나올까봐 무섭다,,,,,,,,
843,끝부분이 정말 좋았다. 첨엔 좀 지루한감이 없지않아 있었지만.,,,,,,,,
844,조조로 삼천원에 본게 다행이야,,,,,,,,
845,왜 이래? 아마추어 같이...,,,,,,,,
846,솔직히 이거 긴장감도 개쩔고 개무서움 근데 좀 허무하게 끝나는게 흠임,,,,,,,,
847,왜 제목이 라스트 엑소시즘 인지 알겠다 ㄷㄷ,,,,,,,,
848,아이건좀돈아까움 사람들그냥다웃음 그냥다큐멘터리느낌 영화끝나고사람들야마,,,,,,,,
849,요즘 이야기위주의 허접공포영화보다 1000배는 재밌다. 무섭구..ㅜ,,,,,,,,
850,역시 극장에서 보는 공포영화의 참맛이란,,,,,,,,
851,혼자보면 무슨일이 생길지도 모른다.,,,,,,,,
852,호러영화나 고어적인것을 기대하면 오산. 비주얼보다 영화흐름에 집중해보세요.,,,,,,,,
853,극장에서 소리 졸라 질렀네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
854,꽤 무서웠어요,,,,,,,,
855,잘때 생각 날거같애ㅠㅠ,,,,,,,,
856,솔직히 겁나 무서움,,,,,,,,
857,링과 맞먹는 공포물,,,,,,,,
858,알수없는 공포의 리얼.,,,,,,,,
859,엄청 재밌음. 심리적압박,,,,,,,,
860,공포영화중 엑소시스트시리즈가 최고죠,,,,,,,,
861,생각할거리는 없고 그냥 그 리얼함에 푹 빠져들면 공포는 찾아온다..,,,,,,,,
862,간만에 극장가서 공포영화봤다. 울면서 뛰쳐나올뻔했다..,,,,,,,,
863,저 이거 무서웠어요 심리적 공포 짱,,,,,,,,
864,엑소시시트시리즈중 단연 으뜸이다.,,,,,,,,
865,진정한 공포~ 많은것을 생각하게 하는 영화,,,,,,,,
866,언제봐도 무서운 엑소시스트,,,,,,,,
867,정말 사탄은 있을수도있다 그런 생각이 든다,,,,,,,,
868,극장에 혼자가서 봤는데 죽는줄알았어요,,,,,,,,
869,총을 들수밖에 없는 아버지의 심정 그리고 불쌍한 고양이,,,,,,,,
870,새로운 느낌의 공포영화가 나타났다.,,,,,,,,
871,공포영화는 무조건 잔인해야재밌다는 편견을 깼다. 너무 재밌게 봤다.,,,,,,,,
872,신선한 소재가 무척 흥미로웠고 다큐프로같은느낌이라서 더 리얼했음..,,,,,,,,
873,이거 괜찮은 영화던데 엑소시스트 시리즈중 가장 재밌었음,,,,,,,,
874,심야에 보시라,,,,,,,,
875,여운이 남는 공포영화. 영화가 끝난후 기독교에 대해서 다시 생각해보게됐음..,,,,,,,,
876,정말,,,,,,,,
877,무엇하나 부족함이 없는 새로운 시도의 공포영화,,,,,,,,
878,오랫동안 잊혀지지않는 작품입니다,,,,,,,,
879,허리꺾기 대박. 보면 헉소리나와요,,,,,,,,
880,엄습하는 심리적 공포,,,,,,,,
881,사실 보고 기분이 그다지 좋지않다. 앞으로 집에서 불켜고 자야겠다,,,,,,,,
882,허리 우두두두둑,,,,,,,,
883,기분이 매우 나쁜 공포감,,,,,,,,
884,말로 표현할수가 없다.,,,,,,,,
885,오멘보고 공포영화 다신 안본다고 맹세했는데,,,,,,,,
886,무섭네요.ㅡ ㅡ;;; 다신 공포영화 안볼래요;;;;,,,,,,,,
887,허리꺽기가 테크노..ㅋㅋㅋㅋ 근데 주온 허리꺽기보단 나았다 ㅎㅎ,,,,,,,,
888,진짜 무서워서 혼났다.,,,,,,,,
889,그루지같은 쓰레기 분장보다가 이거보면 식겁한다..,,,,,,,,
890,공포영화좋아하는사람들에게 적극추천~,,,,,,,,
891,아 입찢어졌을때 징그러워서 혼났네,,,,,,,,
892,정말 무서워요..이영화찍은 배우분들 심리상태는 괜찮나요? ㅜ,,,,,,,,
893,와 나 진짜 무섭게 봤음.,,,,,,,,
894,아진심 이거왜이레  재미없어,,,,,,,,
895,리얼이 대세라지만 너무상업적 후반부 내용어이없음 차라리 원작 강추,,,,,,,,
896,아짜증나죽는줄알았다 존나재미없어 뭐가무서워 아진짜 껌껌해서 보이지도않고 짜증나,,,,,,,,
897,스카이라인 뺨때릴만큼 쓰레기다 스카이라인은 cg라도보지 씨1발,,,,,,,,
898,쓰레기영화...완전 다큐멘터리....스릴x,,,,,,,,
899,별점열개 이해가안간다. 공포영화 처음보나? 쓰레기다.,,,,,,,,
900,재미도 없고 공포도 없고 허무하고,,,,,,,,
901,공포영화 좋아하는데 남자친구랑 벌벌 떨면서 봤다. 밤에 집에 가는데 무섭더라는..,,,,,,,,
902,일본 공포물보다 한수위인 영화,,,,,,,,
903,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
904,도대체 뭐가 무섭다는거야;; 오리지날이 훨씬 볼만하겠다.,,,,,,,,
905,절대 혼자보지마세요ㅜ,,,,,,,,
906,진정한 공포,,,,,,,,
907,공포물의 정석.,,,,,,,,
908,극장을 나올,,,,,,,,
909,모든 공포물을 능가하는..,,,,,,,,
910,아 극장에서 뛰쳐나가고 싶더라…무서워서…ㅜ,,,,,,,,
911,똥싸지 말고 진짜 재미없음ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,,,,,,,,
912,나는 나름 괜찮았던 영화였는데. 결말도 꽤 소름 돋았고. 재밌었다,,,,,,,,
913,그저 지못미....,,,,,,,,
914,진짜 평점반개도아까운  OOO기영화 중간에누가꺼버린기분 100%,,,,,,,,
915,솔직히 재미도 없고 잔인하기만 했어요.,,,,,,,,
916,대체 어디서 공포와 스릴을 느껴야함? 허! 여자애가 칼로 목사손바닥 찌르고 토낄때?,,,,,,,,
917,완전 재밌는듯!! 마무리도 좋고 내용 전개도 좋고 전국민이 다봐야할 영화 굳,,,,,,,,
918,찬VS반 이 아니라 본사람 VS알바네.......정말 보지마세요. 정말 재미없음,,,,,,,,
919,현대사회에서도 아직 엑소시즘은 존재한다,,,,,,,,
920,진짜 이말이 딱임.-기대안하고봤는데 정말 대박,,,,,,,,
921,말이 필요없다. 용기있는 사람만 보시오.,,,,,,,,
922,대박 재밌음 이런건 극장에서 봐야지.,,,,,,,,
923,공포영화좋아하는분에게 추천합니다.,,,,,,,,
924,공포도 있고 리얼리티가 살아있는 공포,,,,,,,,
925,이거슨 소리로 놀래키거나 억지로 무섭게 하는 영화가 아니다,,,,,,,,
926,무섭다…ㅡ ㅡ 이거 꼭 실화같다.,,,,,,,,
927,시작하자마자 밀려오는 긴장감,,,,,,,,
928,영적세계에 대해서 다시 생각해보게한 영화,,,,,,,,
929,흔해빠진 공포영호와는 좀 다르다.,,,,,,,,
930,분위기 조성을 잘 살린 영화.,,,,,,,,
931,왠만한 공포영화보다 훨씬 더 공포를 느끼며 봤다.,,,,,,,,
932,다큐라는게 크게 한몫했음.,,,,,,,,
933,무서워서 고개 돌리고 봤다. 쩝..,,,,,,,,
934,하나도 안무섭.,,,,,,,,
935,허무..놀래키기만 하는 의미없는 오류영화,,,,,,,,
936,알바들 쩐다 이런 개쒜뤠기 영화는 제발 극장가서 던주고보지말자,,,,,,,,
937,이건 진짜.... 엔딩완전이상함 황당그자체,,,,,,,,
938,공포의 근원을 잘파악한…어찌보면 감독이 천재인듯,,,,,,,,
939,무서워서 죽는줄알았다.,,,,,,,,
940,개념있는 공포영화,,,,,,,,
941,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
942,엑소시시트시리즈중 단연 으뜸이다.,,,,,,,,
943,좀 어지러웠지만 그덕에 엄청실감났음,,,,,,,,
944,보기싫었는데….진짜 괜히봤다는 생각이 든다..나 혼자산단말야……,,,,,,,,
945,조여오는 압박감으로 인한 공포가 무엇인지 이영화를 통해 느낄수있을것.,,,,,,,,
946,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
947,남친이랑같이봤는데정말OOO기영화입니다...돈아까워죽는줄알았어요,,,,,,,,
948,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
949,쓰레기영화에 당했다 ㅡㅡ 결말만 좋았음,,,,,,,,
950,하나도 안무서움!!공포싫어하는 남친도 시시하다고 함~심리공포도아님 ..비추,,,,,,,,
951,결말때문에 다 망쳤습니다.....,,,,,,,,
952,공포장르를 새롭게 해석한 감독의 능력이 놀랍다.,,,,,,,,
953,이건 단순한 공포영화가 아니다..,,,,,,,,
954,헐 진짜 미치도록 무서운 영화다 아나 오늘 잠못자겠다.,,,,,,,,
955,혼자 보고 잠을 못자고 있다,,,,,,,,
956,뭔가 개운하지못하지만 무섭긴 최고다 진짜.,,,,,,,,
957,같이본 미국 애들도 욕햇다 니미 이것도 공포영화라고 ㅉㅉㅉ,,,,,,,,
958,너무 지루했어요 미쿡사람들은 이런 류의 영화를 조아하는건가??ㄷ,,,,,,,,
959,그흔한 cg한장면없음 내용 개최악.. 칭찬글은 죄다 알바임 참고하세요 최악의다큐 -_-,,,,,,,,
960,이제 페이크무비중에서 이 정도의 구성으론 식상하다..,,,,,,,,
961,전무후무란 이런 영화를 두고……귀신이 안튀어나와도 이렇게 무서운 영화가 있다,,,,,,,,
962,8점대가 정확한 평점인듯,,,,,,,,
963,움찔움찔 놀라는 맛이 아주 좋아요,,,,,,,,
964,깜짝놀래는것보다 더 무서운게 담겨있는 영화..은근 소름 공포,,,,,,,,
965,소재를 잘이끌어냈습니다.,,,,,,,,
966,공포라기보단 다큐멘터리..ㅋㅋ 그래서 더 무서움,,,,,,,,
967,완전 긴장하면서 봤는데..진짜 마무리 좋다.,,,,,,,,
968,배우들의 자연스러운 연기가 볼만하네요,,,,,,,,
969,공포영화답지않은 탄탄한 스토리입니다.,,,,,,,,
970,진심보지마 개재미없으니깐 ㅡ ㅡ,,,,,,,,
971,헐~ 낚였네; 간단하게 평가 잼없음,,,,,,,,
972,알바쩌네 진짜재미없어요ㅋㅋㅋ돈내고봤으면후회했을꺼임,,,,,,,,
973,무섭고 의미있는 영화에요,,,,,,,,
974,아 입찢어졌을때 징그러워서 혼났네,,,,,,,,
975,재미있네요 강추,,,,,,,,
976,소재와 연기 모두 잘살린 영화,,,,,,,,
977,엑소시즘을 토대로 접근해본 가능성에 대한 고찰,,,,,,,,
978,섬뜩하고 소름끼치는 영화,,,,,,,,
979,식상하지않고 완급조절이 좋다,,,,,,,,
980,잔잔하게 무섭다 특히 마지막장면 소름,,,,,,,,
981,잠시도 긴장감을 늦출수없다.,,,,,,,,
982,여자애 불쌍하다,,,,,,,,
983,괜찮은데? 긴장도 되고!,,,,,,,,
984,정말 이건 막장.. 정말 재미 없네요;; 로즈가 훨씬 실감난듯,,,,,,,,
985,그저그런 영화일거라는 내편견을 깨는 영화,,,,,,,,
