,content,,,,,,,,
1317,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
1318,요즘 이야기위주의 허접공포영화보다 1000배는 재밌다. 무섭구..ㅜ,,,,,,,,
1319,긴장감과 현장감이 고스란히 오감으로 느껴졌다,,,,,,,,
1320,완성되어진 잘짜여진 영화,,,,,,,,
1321,알바쩌네 ㅋㅋㅋㅋㅋㅋ 레알 쓰레기 영화,,,,,,,,
1322,아 극장에서 뛰쳐나가고 싶더라…무서워서…ㅜ,,,,,,,,
1323,이런게 공포지,,,,,,,,
1324,적당한 복선과 치밀한 반전,,,,,,,,
1325,깊이있고 무거웠음. 가벼운 진행이 아니라 정말 리얼리티였음..,,,,,,,,
1326,무슨 케이블채널에서 실화를 다룬 다큐멘터리같아서 리얼하고 긴장넘쳤다,,,,,,,,
1327,소재를 잘이끌어냈습니다.,,,,,,,,
1328,초반 목사 떠벌이 짜증. 중반 몰입 흥미롭다가. 후반 생뚱맞은 결론에 확깬다.,,,,,,,,
1329,배우들 연기 진짜 리얼하다. 그래서 더 무섭고 실감났다,,,,,,,,
1330,이거완전평들알바네개어이없는영화 개막장.영화만든의미가뭐져?내생에최악의영화,,,,,,,,
1331,나름 긴장하면서 봤다. 재밌었다,,,,,,,,
1332,완전 긴장하면서 봤는데..진짜 마무리 좋다.,,,,,,,,
1333,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
1334,저는 정말 무섭고 재밌게 봤어요,,,,,,,,
1335,짜릿한 공포의 묘미…이영화를 보면 알수있을거다.,,,,,,,,
1336,공포보다는 종교적색채가 강하다. 개개인의 신앙에 따라 다른느낌을 받을듯..,,,,,,,,
1337,전문가 평점이 때론 정답~ 지겹고,,,,,,,,
1338,오잉..이제 페이크공포물 질렸나,,,,,,,,
1339,보기싫었는데….진짜 괜히봤다는 생각이 든다..나 혼자산단말야……,,,,,,,,
1340,아 진짜 다큐멘터리같잖아,,,,,,,,
1341,결말이 허무한줄알았으나 곱씹어 생각해보니 음...좋은 작품인거같애,,,,,,,,
1342,배우들의 연기가 괜찮았다,,,,,,,,
1343,긴박한 상황과 반전이 기가막힌다.,,,,,,,,
1344,실화라는 생각이 막 들어서 더 무섭다,,,,,,,,
1345,왠간한 잔인한거.. 귀신등등 무섭게 본적없던 내가 주변을 둘러보며 봤던영화 첨..ㅜㅜ,,,,,,,,
1346,솔직히 난 무서운거 잘 안타는데 이거 진짜 쪼금 무서웠구 진짜 재밌게 잘만듬.,,,,,,,,
1347,엑소시시트시리즈중 단연 으뜸이다.,,,,,,,,
1348,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
1349,와진짜잼없어ㅎ답답하고잼없고 여태엑소시스트 엑소시즘다봤는데일케잼없긴첨이다ㅡㅡ,,,,,,,,
1350,올만에온가족이함께봄어머니주무심중간에2명나감영화보면서돈시간아깝다는생각처음함,,,,,,,,
1351,진짜 계속 보면서 흥미진진했어요,,,,,,,,
1352,혼자 보고 잠을 못자고 있다,,,,,,,,
1353,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
1354,대박 재밌음 이런건 극장에서 봐야지.,,,,,,,,
1355,기분이 매우 나쁜 공포감,,,,,,,,
1356,공포영화중 엑소시스트시리즈가 최고죠,,,,,,,,
1357,시작하자마자 밀려오는 긴장감,,,,,,,,
1358,전혀 지루하지않고 나올때 시원~하게 나올수있다. 참 잘만들었네…,,,,,,,,
1359,공포라기보단 다큐멘터리..ㅋㅋ 그래서 더 무서움,,,,,,,,
1360,여지껏 봤던 엑소시스트 시리즈중에 최강이다..,,,,,,,,
1361,심야에 보시라,,,,,,,,
1362,아 진짜 제대로 낚시 영화 ㅡㅡ,,,,,,,,
1363,꿈에 나올까봐 무섭다,,,,,,,,
1364,영화자주보는뎅... 간만에.. 보고 돈아깝다는 생각이..ㅠ_ㅠ;,,,,,,,,
1365,공포영화인데 이거 너무 사실적인 영화 그래서 더무서움…,,,,,,,,
1366,어설프게 놀래키려는 다른영화랑 다름.,,,,,,,,
1367,끝이 좀 허무한듯하지만 난 진짜 등이 다젖어가면서 봤음 ㅋ,,,,,,,,
1368,잠시도 긴장감을 늦출수없다.,,,,,,,,
1369,진짜 허접 공포영화 감독들 이거보고 좀 느끼시길…,,,,,,,,
1370,기대를 져버리지 않을것이다,,,,,,,,
1371,엄습하는 심리적 공포,,,,,,,,
1372,TV다큐채널느낌…안무서울거같다가 결국은 관객의 혼을,,,,,,,,
1373,허를 찌르는 공포를 느꼈다,,,,,,,,
1374,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
1375,말이 필요없다. 용기있는 사람만 보시오.,,,,,,,,
1376,간만에 진짜 공포영화다운 영화보네요,,,,,,,,
1377,공포영화답지않게 굉장히 리얼하고 신선한,,,,,,,,
1378,스토리적으로 조금 미흡하긴 하지만 아주 참신하고 흡인력있었다.,,,,,,,,
1379,꽤 무서웠어요,,,,,,,,
1380,오락영화를 원했다면 1점 이겠지만......,,,,,,,,
1381,내가 여지껏 봤던 공포영화중에 최고의 공포를 안겨준 영화..,,,,,,,,
1382,이런영화는다시없을꺼같다  아주좋은영화 돈주고 꼭볼만한 영화 꼭보세요,,,,,,,,
1383,외국영화도 알바쓰냐 이제 ㅜㅜ 배급사 홍보팀 가만안둔다 진짜ㅜㅜ,,,,,,,,
1384,포스터의 허리꺽는게 전부인 영화.이게 무슨 박스오피스1위야 ㅡ.ㅡ 아~ 시간아까워~,,,,,,,,
1385,굉장한 막장영화입니다~ 이런걸 극장에서 돈주고 보면 절대 안됩니다.,,,,,,,,
1386,전반적으로 재미있었으나 마지막에 너무 갑자기 마무리하는 느낌이 아쉬웠다,,,,,,,,
1387,이거짱재밌으니까꼭보러가세요ㅋ제친구가재밌다고보자고해서오늘 봤는데ㅋ짱재밌어요,,,,,,,,
1388,시도는 좋았으니 ..뭔가 영..-_-,,,,,,,,
1389,돈아까운 영화다.  짜증나는 영화였습니다. 화면도  어지러워서 ㅡ ㅡ 하나도 안무서,,,,,,,,
1390,무서운부분은 있긴있지만 진짜 조금이고 너무 짧은듯..,,,,,,,,
1391,허리꺽을때 내 심장도 멎을뻔…,,,,,,,,
1392,스토리도 좋고 역시 마지막이 깜놀이네염,,,,,,,,
1393,우두두두두두둑 우두두두두둑 소리 완전 무서웠음,,,,,,,,
1394,공포영화? 아니 그이상의 짜릿함!,,,,,,,,
1395,마치 사실에 기초한듯한 착각을 불러일으킨다.,,,,,,,,
1396,일본 공포물보다 한수위인 영화,,,,,,,,
1397,재밌어요 뒷부분이 놀래키네요 ㅋㅋ,,,,,,,,
1398,다큐라는게 크게 한몫했음.,,,,,,,,
1399,정말별로던데... 무서운장면은 예고편이 다임,,,,,,,,
1400,초반 지루.. 중반~후반 몰입감 괜찮음...,,,,,,,,
1401,공포영화좋아하는분에게 추천합니다.,,,,,,,,
1402,진짜 아직도 의문이 남음,,,,,,,,
1403,후반으로 갈수록 디진다 진짜 정신 바짝 차리고 봐라,,,,,,,,
1404,16세의 소녀... 무서워죽는줄알았네ㅠ 질질쌉니다.,,,,,,,,
1405,무서워서 고개 돌리고 봤다. 쩝..,,,,,,,,
1406,내가살면서이렇게재미없는공포영화첨봄....폐가가헐배나음..,,,,,,,,
1407,공포영화를 두루 섭렵한 사람으로써 단연 수작으로 꼽고싶은 영화다.,,,,,,,,
1408,소름끼칠정도로 무섭다. 마음의 준비를 하고 보시길.,,,,,,,,
1409,언제봐도 무서운 엑소시스트,,,,,,,,
1410,공포는 몫. 긴장은 필수,,,,,,,,
1411,내가 진짜 영화볼줄모르지만 이건 아니에요 알바들말 믿지마세요,,,,,,,,
1412,정말 한숨밖에 안나오네요. ㅡㅡ;;,,,,,,,,
1413,처음엔 이게끝?이런 생각이었지만 시간이 지나니 이해가 되네요,,,,,,,,
1414,지루햇다.마지막도허무햇고,,,,,,,,
1415,이런 영화는 블레어 윗치에서 끝났어야 했다.,,,,,,,,
1416,악마의 탄생? 그다지..;;,,,,,,,,
1417,짱무섭다,,,,,,,,
1418,개인적으로 이런식의 영화구성 맘에 듭니다.,,,,,,,,
1419,이런류의 공포물은 첨이었다. 좋은 스토리가 인상적이었다.,,,,,,,,
1420,초반에는 스토리에 몰입이 되자않았으나 중반부터 대박이네요.,,,,,,,,
1421,호러영화나 고어적인것을 기대하면 오산. 비주얼보다 영화흐름에 집중해보세요.,,,,,,,,
1422,기대보다 훨씬 잘만든 영화.,,,,,,,,
1423,사람의 어두운 본능을 잘 살린듯,,,,,,,,
1424,식상하지않고 완급조절이 좋다,,,,,,,,
1425,공포영화는 무조건 잔인해야재밌다는 편견을 깼다. 너무 재밌게 봤다.,,,,,,,,
1426,영적세계에 대해서 다시 생각해보게한 영화,,,,,,,,
1427,일단 공포는 무서워야 제맛.,,,,,,,,
1428,끝부분이 정말 좋았다. 첨엔 좀 지루한감이 없지않아 있었지만.,,,,,,,,
1429,괜찬네요. 공포영화가 깔끔하고 세련된 느낌을 줄수도 있네요…,,,,,,,,
1430,허리꺽기가 테크노..ㅋㅋㅋㅋ 근데 주온 허리꺽기보단 나았다 ㅎㅎ,,,,,,,,
1431,전무후무란 이런 영화를 두고……귀신이 안튀어나와도 이렇게 무서운 영화가 있다……,,,,,,,,
1432,진짜 무서워서 혼났다.,,,,,,,,
1433,이런식으로 공포영화에 접근할생각을 하다니…감독 누구심? 암튼 대박무서웠다.,,,,,,,,
1434,완전 낚인 영화.. 무슨 평화티비 보는줄 알았음,,,,,,,,
1435,진짜 기대안하고 봤는데 진짜 깜놀,,,,,,,,
1436,제 나름 정말 재밌었던거 같네여,,,,,,,,
1437,진정한 공포~ 많은것을 생각하게 하는 영화,,,,,,,,
1438,심도있게 진행되는 상황전개그리고 리얼한 연기,,,,,,,,
1439,재밌게 잘봄 ^-^,,,,,,,,
1440,첨엔 스토리가 뭐 이러나 했는데 공포심유발하는데 기폭제역할을한거였다.,,,,,,,,
1441,여자애 불쌍하다,,,,,,,,
1442,영화 자체가 무섭다.,,,,,,,,
1443,나의 몇안되는 최고의 공포영화,,,,,,,,
1444,흥미진진하고 늦은밤에봐서 더 재밌었음.,,,,,,,,
1445,고양이때 깜놀했음 ..,,,,,,,,
1446,긴장감을 놓칠 수 없는 짜임새 있는 전개! 파라노말액티비티2 이후 최고의 공포영화.,,,,,,,,
1447,재밌는데 왜 이렇게 평점이 낮은건지 - 참..,,,,,,,,
1448,저 이거 무서웠어요 심리적 공포 짱,,,,,,,,
1449,우악스런 공포보다는 자연스럽게 조여오는 긴장감이 좋았다.,,,,,,,,
1450,움찔움찔 놀라는 맛이 아주 좋아요,,,,,,,,
1451,신선한 소재. 꽤괜찮지만 결론이 애매함,,,,,,,,
1452,역시 극장에서 보는 공포영화의 참맛이란,,,,,,,,
1453,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
1454,ㄴ이거볼려면 저믿고  dvd로 보셈 보고 나서 내가 왜 이런 평점 남긴줄알꺼임,,,,,,,,
1455,공포도 있고 리얼리티가 살아있는 공포,,,,,,,,
1456,교회의 일부 이상한 분들이 봤으면 좋겠음.;,,,,,,,,
1457,복잡하지않고 진짜 나 이런가게 좋다.,,,,,,,,
1458,진짜 배우들 연기 진짜같다,,,,,,,,
1459,저는 정말 지겹고 지루하고 재미없었어요...허허,,,,,,,,
1460,영화시작5분후 입장 아무도 없는 관람석 완전감동..,,,,,,,,
1461,상당히 리얼하고 치열한 공포,,,,,,,,
1462,아 입찢어졌을때 징그러워서 혼났네,,,,,,,,
1463,나를 정말 후덜덜하게 떨게 만든 공포영화..,,,,,,,,
1464,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
1465,굿굿굿 ㅋㅋㅋㅋ,,,,,,,,
1466,너무 재밌네요 저혼자 당할순없죠^^ㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
1467,왜그럼.. 볼만한데 ㅋㅋ,,,,,,,,
1468,진짜 5점이상주는건 아님 ㅡㅡ 진짜 병맛영화.. OOO했음 아나,,,,,,,,
1469,예고편 보다 재미있음.. 페이크 지만 나름 몰입해서 봄.. 마지막은 정말 황당,,,,,,,,
1470,결말이사이비종교애기라니 그것도 엉성한결말 제목이아까움,,,,,,,,
1471,사탄은 정말 좀 오바였음..;;;,,,,,,,,
1472,영화를 볼대 포인트를 놓치지 마세요 마지막이 허무할수 있으니,,,,,,,,
1473,오오오오,,,,,,,,
1474,집사람이랑 같이 봤는데 집사람 가위눌림,,,,,,,,
1475,그다지..잠이쏟아지고..영화만들다말고밥먹으러갓나..?,,,,,,,,
1476,사이비 엑소시즘을 다룬 영화 내입에서 처음으로 쉬래기란 소리가 나옴,,,,,,,,
1477,이거주기도아까워 10개준사람은 뭘본거?,,,,,,,,
1478,무서워서 죽는줄알았다.,,,,,,,,
1479,혼자봤는데 장난 아님,,,,,,,,
1480,세심하게 구성된 리얼리티공포물.,,,,,,,,
1481,공포의 근원을 잘파악한…어찌보면 감독이 천재인듯,,,,,,,,
1482,좀 어지러웠지만 그덕에 엄청실감났음,,,,,,,,
1483,마무리가 쩌네요. 소름돋았는데,,,,,,,,
1484,간만에 만나는 심리호러의 진수,,,,,,,,
1485,이영화는 공포만을 보여주는게 아니었다.,,,,,,,,
1486,공포가 피부로 와닿는다.,,,,,,,,
1487,나이거 보고 불면증걸린거같다..,,,,,,,,
1488,라 내 6500원하고 시간 돌려놔라 이------들아 존나 ㅄ 영화 고사2보다 ㅄ,,,,,,,,
1489,페이크뮤비로 더 긴장되고 흥미로웠던 영화.,,,,,,,,
1490,정말 긴장하면서 봤다. 배우들 연기또한 너무 소름돋을정도,,,,,,,,
1491,독특한 소재,,,,,,,,
1492,흐미 OO 나 혼자사는데 이젠 어떻하나,,,,,,,,
1493,쩐다 OO..,,,,,,,,
1494,별 10개 준분들 보긴 본건지 의심됨,,,,,,,,
1495,공포영화 치곤 정말 무섭진 않았지만 소재가 매우 신선하여서 볼만은 했음,,,,,,,,
1496,나 이거 보고 잠을 못 잤다. 이걸 볼려면 우선 정확한 영화적 해석이 필요한것 같다.,,,,,,,,
1497,ㅡㅡ이게공포영환지 인간극장인지,,,,,,,,
1498,여운도 남고 몰입되서볼만큼 재밌었다.,,,,,,,,
1499,말이 필요없는 공포영화,,,,,,,,
1500,내가 공포영화에서 원하던 분위기,,,,,,,,
1501,왠만한 공포영화보다 훨씬 더 공포를 느끼며 봤다.,,,,,,,,
1502,신선한 소재가 무척 흥미로웠고 다큐프로같은느낌이라서 더 리얼했음..,,,,,,,,
1503,이거슨 소리로 놀래키거나 억지로 무섭게 하는 영화가 아니다,,,,,,,,
1504,하드한 공포물은 아니다. 하지만 생각을 하게 만드는 영화 간만에 본다,,,,,,,,
1505,무서운장면보다….이어지는 연이은 상황들이 긴장과 압박을 장난아니게 준다..,,,,,,,,
1506,배우들의 연기가 돋보임.,,,,,,,,
1507,엑소시즘을 토대로 접근해본 가능성에 대한 고찰,,,,,,,,
1508,엑소시스트이후 나온 오컬트 무비중 최고의 리얼리티,,,,,,,,
1509,시사회로 봤었습니다. 기존의 공포영화와 다른 독특한 경험. 강추입니다.,,,,,,,,
1510,이런게 진짜 공포 아닐까..?,,,,,,,,
1511,포스터만 볼만함............괜히 봤어....,,,,,,,,
1512,진짜 기대많이 했는데 이렇게 재미없을줄이야.... 그냥 3류영화,,,,,,,,
1513,이점수도아깝 보고나서 생각했지 집에 가서 할일은 최고의 악평을 남기는일뿐이다,,,,,,,,
1514,솔직히 재밌었음..스릴도 있고 분위기가 대박임...엑소시스트매니아라면 꼭 보세요,,,,,,,,
1515,기대가크면 실망이 큰법..차라리 에밀리로즈를 한번 더 보겠다..,,,,,,,,
1516,영화 매니아라면..솔직히 너무 뻔한스토리에 결말이 너무 ㅋㅋㅋㅋ무슨 코미디보는줄,,,,,,,,
1517,간만에 극장가서 공포영화봤다. 울면서 뛰쳐나올뻔했다..,,,,,,,,
1518,잔잔하게 무섭다 특히 마지막장면 소름,,,,,,,,
1519,귀신영화좋아하는 사람도 각오 단단히 하고봐야할듯…,,,,,,,,
1520,진정한 공포,,,,,,,,
1521,보지마,,,,,,,,
1522,알바들이 판을 치는구나... 정말 최악이다... 결말을 어떻게 이렇게 구성하지 ??,,,,,,,,
1523,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
1524,극장에 혼자가서 봤는데 죽는줄알았어요,,,,,,,,
1525,좋은 발상에서 끝맺음이 쥑이네,,,,,,,,
1526,오멘보고 공포영화 다신 안본다고 맹세했는데,,,,,,,,
1527,생각할거리는 없고 그냥 그 리얼함에 푹 빠져들면 공포는 찾아온다..,,,,,,,,
1528,정말 재밌게 봤다 무섭기도 무섭지만 리얼한 상황전개가 나를 미치게했다…,,,,,,,,
1529,진짜 돈아깝ㄷ ㅏ  에효~ㅋㅋㅋㅋㅋㅋ이게공포영화인지,,,,,,,,
1530,각자의 취향이 있지... 난 재밌었따.,,,,,,,,
1531,솔직히 가장 무서운건 상상력아닌가? 그리고 결말 맘에듬!! 갠적으로 잼있었음~!,,,,,,,,
1532,결말도 이상하고 깜짝만놀래켜주고 머 특별하게 무서운것도없어요..,,,,,,,,
1533,사기꾼 목사.... 지금까지 본 엑소시즘 중에 최악.. 무섭긴..,,,,,,,,
1534,결말어이없는영화중제일어이없었고내용도전체적이지못하고무서운장면몇개만끼워놈,,,,,,,,
1535,그저 사라져버린 내 6000원 ㅋㅋㅋㅋㅋ,,,,,,,,
1536,아 그냥 그 종교단체 그런거자체가 꺼름칙해...................,,,,,,,,
1537,절대 혼자보지마세요ㅜ,,,,,,,,
1538,진짜 자연스럽게 무섭다.,,,,,,,,
1539,그루지같은 쓰레기 분장보다가 이거보면 식겁한다..,,,,,,,,
1540,깜짝놀래는것보다 더 무서운게 담겨있는 영화..은근 소름 공포,,,,,,,,
1541,긴장하면서 봤다…근데 끝이 잘 이해가 안간다..,,,,,,,,
1542,개념있는 공포영화,,,,,,,,
1543,엄청 재밌음. 심리적압박,,,,,,,,
1544,악마씌인 여자애 진짜 역겹다,,,,,,,,
1545,공포장르를 새롭게 해석한 감독의 능력이 놀랍다.,,,,,,,,
1546,리얼리즘을 바탕에 둔 탄탄하게 짜여진 공포영화. 잘 만들었다.,,,,,,,,
1547,심리적으로 조여오는 긴장감 최고. 마지막에 되돌아갈때 진짜 똥쌀뻔,,,,,,,,
1548,깔끔한 정리는 아니었지만 과정이 엄청 좋았다.,,,,,,,,
1549,이건 재밌는 영화라고할수없다.,,,,,,,,
1550,그저그런 영화일거라는 내편견을 깨는 영화,,,,,,,,
1551,1인칭 영화 매니아로써 크게 실망... 진짜 예고편이 다임ㅡㅡ 내용도 유치함;,,,,,,,,
1552,나만 낚일수 없지.... 거지같은 전개,,,,,,,,
1553,무서워ㅜㅜ.....꿈에나왔다,,,,,,,,
1554,최고 쓰래기 영화 ㅡㅡ 진짜 실망이다 억지로 짜맞추기 바쁜 에혀.,,,,,,,,
1555,재밌는데 이해가 잘안됌,,,,,,,,
1556,명품 공포다큐멘터리,,,,,,,,
1557,뭔가 다른 공포영화 후유증 오래감.,,,,,,,,
1558,마지막까지 흥미진진,,,,,,,,
1559,귀신이 나오거나 그런건 아니지만 뭔지모를 공포감이 있어 좋았다.,,,,,,,,
1560,무섭다…ㅡ ㅡ 이거 꼭 실화같다.,,,,,,,,
1561,알수없는 공포의 리얼.,,,,,,,,
1562,혼자보면 무슨일이 생길지도 모른다.,,,,,,,,
1563,헐 진짜 미치도록 무서운 영화다 아나 오늘 잠못자겠다.,,,,,,,,
1564,공포영화좋아하는사람들에게 적극추천~,,,,,,,,
1565,소리와 자극적인 비주얼로만 놀래키려던 호러감독들은 각성하라.,,,,,,,,
1566,정말 사탄은 있을수도있다 그런 생각이 든다,,,,,,,,
1567,기독교인들은 한번쯤 볼만한 영화 실화같은데 이거…..,,,,,,,,
1568,공포영화에 많이 무뎌져있었는데 오랜만에 오싹오싹하게 만든 영화임.,,,,,,,,
1569,무서움 ㅇㅇ,,,,,,,,
1570,표현이 보기드물게 세련된 공포영화,,,,,,,,
1571,보는내내 긴장긴장긴장,,,,,,,,
1572,결말 개찜찜,,,,,,,,
1573,섬뜩하고 소름끼치는 영화,,,,,,,,
1574,공포영화 잘만드는 일본보다 훨씬 퀄리티있는 공포물이 탄생했다.,,,,,,,,
1575,진짜 이말이 딱임.-기대안하고봤는데 정말 대박,,,,,,,,
1576,현실을 제대로 반영했기에 더욱더 무서울수밖에 없었던,,,,,,,,
1577,공포물의 정석.,,,,,,,,
1578,공포영화답지않은 탄탄한 스토리입니다.,,,,,,,,
1579,보이지않는 무언가로부터 느끼는 공포,,,,,,,,
1580,알바분들 글좋게올리지마여 저 어제봤는데 이런허접한영화 처음봄,,,,,,,,
1581,제가봣던공포영화중제일허무하고재미없엇던영화,,,,,,,,
1582,분위기 조성을 잘 살린 영화.,,,,,,,,
1583,배우들의 자연스러운 연기가 볼만하네요,,,,,,,,
1584,여배우의 연기가 너무 리얼함 하나도 어색하지가 않아..덜덜덜,,,,,,,,
1585,오랜만에 정말 무서웠다 배우들의 호연이 돋보임.,,,,,,,,
1586,이거 괜찮은 영화던데 엑소시스트 시리즈중 가장 재밌었음,,,,,,,,
1587,일련의 사건들로 인해 변화하는 목사의 신념이 관전포인트!,,,,,,,,
1588,대박재미없음 진짜 돈아까움. 올해에서 본 영화중 최악임 ㅡㅡ,,,,,,,,
1589,엑소시즘으로 유혹,,,,,,,,
1590,이 영화끝나자마자 다들 탄식한다 .........................,,,,,,,,
1591,원래 공포영화 시시한데 이건 아니네요…재밋어용~,,,,,,,,
1592,조여오는 압박감으로 인한 공포가 무엇인지 이영화를 통해 느낄수있을것.,,,,,,,,
1593,역대 공포물중 가장 무서웠음,,,,,,,,
1594,허리꺾기 대박. 보면 헉소리나와요,,,,,,,,
1595,너무 재미있게 봤어요…보는 내내 엄청 쫄렸어요,,,,,,,,
1596,이런식의 소재도 이영화의 개성중 하나아닐까?,,,,,,,,
1597,친구한테우겨서봣는데진짜미안하다..엿같고 저질에 결말도 걍싸이코들 1점도아깝,,,,,,,,
1598,이걸 영화라고 보러간 내가 미쳤지;; 평점은 위대하고 나는 관대하다~,,,,,,,,
1599,밍밍해 밍밍해,,,,,,,,
1600,기존의 이야기식 공포에서 탈피..리얼공포!!,,,,,,,,
1601,공포장르를 새롭게 해석한 감독의 능력이 놀랍다.,,,,,,,,
1602,초반엔 좀 재미없는데 후반갈수록 재밌음,,,,,,,,
1603,좋은결말아니었음..스릴있긴한데잔인하거나무섭지않음..보고나면머리가많이아픔,,,,,,,,
1604,별 하나도 아깝다. 영화 끝나고 다들 탄식하던...,,,,,,,,
1605,그저 평볌한 공포영화인데... 오히려 엑소시스트 아류중에선 별로인듯.,,,,,,,,
1606,좋은 발상에서 끝맺음이 쥑이네,,,,,,,,
1607,흥미진진하고 늦은밤에봐서 더 재밌었음.,,,,,,,,
1608,진짜 더럽고 메스꺼움... 역겹다 라는 생각밖에 안들음. 내 눈이 불쌍함.,,,,,,,,
1609,배우들의 연기가 괜찮았다,,,,,,,,
1610,완전 긴장하면서 봤는데..진짜 마무리 좋다.,,,,,,,,
1611,임산부나 노약자는 삼가해주시길,,,,,,,,
1612,집사람이랑 같이 봤는데 집사람 가위눌림,,,,,,,,
1613,소리와 자극적인 비주얼로만 놀래키려던 호러감독들은 각성하라.,,,,,,,,
1614,흔해빠진 공포영호와는 좀 다르다.,,,,,,,,
1615,개념있는 공포영화,,,,,,,,
1616,진짜 심신미약한사람은 보지않았으면 좋겠다…,,,,,,,,
1617,마무리가 쩌네요. 소름돋았는데,,,,,,,,
1618,여지까지 영화보면서 평점리스트란걸 쓴 적이없는데... 열받아서 쓰는영화 별점 0,,,,,,,,
1619,10점 준 사람들은 뭐죠? 알바?,,,,,,,,
1620,뭔가 새로운걸 시도하려했으나 그냥 난잡하기만 했네요,,,,,,,,
1621,긴장하면서 봤다…근데 끝이 잘 이해가 안간다..,,,,,,,,
1622,뭔가 개운하지못하지만 무섭긴 최고다 진짜.,,,,,,,,
1623,이건 재미도 뛰어나고 작품성도 뛰어남,,,,,,,,
1624,여자애가 아크로바틱했나? 진짜 유연함. 아 무서워서 혼났네요,,,,,,,,
1625,짜임새있고 연출력 좋고 배우들 실감나는 연기 좋네요,,,,,,,,
1626,제 나름 정말 재밌었던거 같네여,,,,,,,,
1627,사람의 어두운 본능을 잘 살린듯,,,,,,,,
1628,긴박감있는 진행. 짜임새있는 스토리.,,,,,,,,
1629,진짜 계속 보면서 흥미진진했어요,,,,,,,,
1630,공포영화 보통 시시한데 이건 내용이 알차고 긴장감돌고 좋았아요,,,,,,,,
1631,극장에 혼자가서 보삼. 긴장감 쩔고 마지막에 뒈짐 ㅋ,,,,,,,,
1632,평점 10점은 사람들 낚으려는건지?? 알바들 인지..?? 진짜 잼없음,,,,,,,,
1633,조여오는 압박감으로 인한 공포가 무엇인지 이영화를 통해 느낄수있을것.,,,,,,,,
1634,공포영화답지않은 탄탄한 스토리입니다.,,,,,,,,
1635,초쓰래기영화 백원주고보는것도아깝다 캬악퉤 다니엘스탬OO새끼,,,,,,,,
1636,우악스런 공포보다는 자연스럽게 조여오는 긴장감이 좋았다.,,,,,,,,
1637,포스터 뒷면의 '파라노말액티비티'라는 문구에 낚여 봤는데 이건뭐 거지같은...,,,,,,,,
1638,배우들의 자연스러운 연기가 볼만하네요,,,,,,,,
